137.1, 1024, 1, LTS, VI
137.1, 1142, 1, FS, V
137.1, 1172, 1, IB, V
137.1, 2653, 3, FS, V
137.1, 2659, 3, FS, V
137.1, 2672, 3, FS, V
137.1, 2681, 3, LTS, V
137.2, 1174, 1, IB, V
137.2, 2647, 3, FS, V
137.3, 1150, 1, FS, V
137.3, 1167, 1, IB, V
137.3, 1188, 1, IB, V
137.5, 2650, 3, FS, V
137.6, 870, 1, RS, VI
137.6, 1021, 1, LTS, VI
137.6, 1168, 1, IB, V
137.6, 2656, 3, FS, V
137.6, 2671, 3, FS, V
137.7, 1181, 1, IB, V
137.7, 2646, 3, FS, V
137.8, 1182, 1, IB, V
137.8, 1191, 1, IB, V
137.8, 2664, 3, FS, V
137.9, 1130, 1, FS, V
137.9, 2670, 3, FS, V
138, 1131, 1, FS, V
138, 2644, 3, FS, V
138.1, 1177, 1, IB, V
138.1, 2655, 3, FS, V
138.4, 1179, 1, IB, V
138.5, 2657, 3, FS, V
138.5, 2660, 3, FS, V
138.5, 2665, 3, FS, V
138.6, 2673, 3, FS, V
138.6, 3299, 4, LTS, VI
138.7, 1032, 1, LTS, VI
138.7, 1189, 1, IB, V
138.8, 1171, 1, IB, V
138.8, 1178, 1, IB, V
138.8, 1192, 1, IB, V
138.8, 2651, 3, FS, V
138.9, 1170, 1, IB, V
138.9, 1175, 1, IB, V
138.9, 1180, 1, IB, V
139, 1183, 1, IB, V
139, 2666, 3, FS, V
139.1, 2645, 3, FS, V
139.1, 2654, 3, FS, V
139.2, 796, 1, RS, VI
139.2, 1185, 1, IB, V
139.2, 1190, 1, IB, V
139.3, 769, 1, RS, VI
139.4, 1123, 1, FS, V
139.4, 1152, 1, FS, V
139.5, 922, 1, RS, VI
139.5, 1173, 1, IB, V
139.6, 800, 1, RS, VI
139.6, 916, 1, RS, VI
139.7, 264, 0, LTS, VI
139.8, 1299, 1, LTS, IV
140, 1176, 1, IB, V
140.2, 3301, 4, LTS, VI
140.3, 255, 0, LTS, VI
140.3, 931, 1, RS, VI
140.3, 1023, 1, LTS, VI
140.3, 1184, 1, IB, V
